doc_id,stock_code,stock_name,industry,confidence,evidence
S001,002594,比亚迪,整车,0.78,"产业主题映射""新能源汽车""→整车"
S001,601127,赛力斯,整车,0.78,"产业主题映射""新能源汽车""→整车"
S001,000625,长安汽车,整车,0.78,"产业主题映射""新能源汽车""→整车"
S001,601633,长城汽车,整车,0.78,"产业主题映射""新能源汽车""→整车"
S001,600104,上汽集团,整车,0.78,"产业主题映射""新能源汽车""→整车"
S002,002594,比亚迪,整车,0.78,"产业主题映射""汽车以旧换新""→整车"
S002,601127,赛力斯,整车,0.78,"产业主题映射""汽车以旧换新""→整车"
S002,000625,长安汽车,整车,0.78,"产业主题映射""汽车以旧换新""→整车"
S002,601633,长城汽车,整车,0.78,"产业主题映射""汽车以旧换新""→整车"
S002,600104,上汽集团,整车,0.78,"产业主题映射""汽车以旧换新""→整车"
S006,601012,隆基绿能,光伏,0.91,"正文提及""隆基绿能"""
S007,600438,通威股份,光伏,0.98,"标题含""通威股份"""
S008,002129,TCL中环,光伏,0.91,"正文提及""TCL中环"""
S009,002459,晶澳科技,光伏,0.91,"正文提及""晶澳科技"""
S010,688599,天合光能,光伏,0.98,"标题含""天合光能"""
S011,601012,隆基绿能,光伏,0.70,"产业主题映射""光伏""→光伏"
S011,600438,通威股份,光伏,0.70,"产业主题映射""光伏""→光伏"
S011,002129,TCL中环,光伏,0.70,"产业主题映射""光伏""→光伏"
S011,002459,晶澳科技,光伏,0.70,"产业主题映射""光伏""→光伏"
S011,688599,天合光能,光伏,0.70,"产业主题映射""光伏""→光伏"
S011,300274,阳光电源,光伏,0.70,"产业主题映射""光伏""→光伏"
S012,300750,宁德时代,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,300014,亿纬锂能,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,002074,国轩高科,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,300207,欣旺达,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,300438,鹏辉能源,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,603659,璞泰来,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,300073,当升科技,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,002812,恩捷股份,锂电,0.70,"产业主题映射""动力电池""→锂电"
S012,300450,先导智能,锂电,0.70,"产业主题映射""动力电池""→锂电"
S013,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
S013,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
S013,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
S013,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
S013,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
S014,688063,派能科技,储能,0.70,"产业主题映射""储能系统""→储能"
S014,688390,固德威,储能,0.70,"产业主题映射""储能系统""→储能"
S014,300763,锦浪科技,储能,0.70,"产业主题映射""储能系统""→储能"
S014,605117,德业股份,储能,0.70,"产业主题映射""储能系统""→储能"
S014,002335,科华数据,储能,0.70,"产业主题映射""储能系统""→储能"
S015,601012,隆基绿能,光伏,0.70,"产业主题映射""光伏""→光伏"
S015,600438,通威股份,光伏,0.70,"产业主题映射""光伏""→光伏"
S015,002129,TCL中环,光伏,0.70,"产业主题映射""光伏""→光伏"
S015,002459,晶澳科技,光伏,0.70,"产业主题映射""光伏""→光伏"
S015,688599,天合光能,光伏,0.70,"产业主题映射""光伏""→光伏"
S015,300274,阳光电源,光伏,0.70,"产业主题映射""光伏""→光伏"
S016,002129,TCL中环,光伏,0.98,"标题含""TCL中环"""
S017,002129,TCL中环,光伏,0.98,"标题含""TCL中环"""
S018,002129,TCL中环,光伏,0.98,"标题含""TCL中环"""
S018,601012,隆基绿能,光伏,0.95,"标题含""隆基"""
S019,002459,晶澳科技,光伏,0.98,"标题含""晶澳科技"""
S020,002459,晶澳科技,光伏,0.98,"标题含""晶澳科技"""
S021,688063,派能科技,储能,0.78,"产业主题映射""新型储能""→储能"
S021,688390,固德威,储能,0.78,"产业主题映射""新型储能""→储能"
S021,300763,锦浪科技,储能,0.78,"产业主题映射""新型储能""→储能"
S021,605117,德业股份,储能,0.78,"产业主题映射""新型储能""→储能"
S021,002335,科华数据,储能,0.78,"产业主题映射""新型储能""→储能"
S022,300274,阳光电源,光伏,0.91,"正文提及""阳光电源"""
S023,300750,宁德时代,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,300014,亿纬锂能,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,002074,国轩高科,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,300207,欣旺达,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,300438,鹏辉能源,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,603659,璞泰来,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,300073,当升科技,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,002812,恩捷股份,锂电,0.70,"产业主题映射""动力电池""→锂电"
S023,300450,先导智能,锂电,0.70,"产业主题映射""动力电池""→锂电"
S024,002459,晶澳科技,光伏,0.98,"标题含""晶澳科技"""
S026,300750,宁德时代,锂电,0.91,"正文提及""宁德时代"""
S027,002594,比亚迪,整车,0.70,"产业主题映射""新能源汽车""→整车"
S027,601127,赛力斯,整车,0.70,"产业主题映射""新能源汽车""→整车"
S027,000625,长安汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
S027,601633,长城汽车,整车,0.70,"产业主题映射""新能源汽车""→整车"
S027,600104,上汽集团,整车,0.70,"产业主题映射""新能源汽车""→整车"
S028,300274,阳光电源,光伏,0.98,"标题含""阳光电源"""
S030,300014,亿纬锂能,锂电,0.91,"正文提及""亿纬锂能"""
S031,688063,派能科技,储能,0.70,"产业主题映射""新型储能""→储能"
S031,688390,固德威,储能,0.70,"产业主题映射""新型储能""→储能"
S031,300763,锦浪科技,储能,0.70,"产业主题映射""新型储能""→储能"
S031,605117,德业股份,储能,0.70,"产业主题映射""新型储能""→储能"
S031,002335,科华数据,储能,0.70,"产业主题映射""新型储能""→储能"
S032,300014,亿纬锂能,锂电,0.98,"标题含""亿纬锂能"""
S033,601012,隆基绿能,光伏,0.78,"产业主题映射""光伏""→光伏"
S033,600438,通威股份,光伏,0.78,"产业主题映射""光伏""→光伏"
S033,002129,TCL中环,光伏,0.78,"产业主题映射""光伏""→光伏"
S033,002459,晶澳科技,光伏,0.78,"产业主题映射""光伏""→光伏"
S033,688599,天合光能,光伏,0.78,"产业主题映射""光伏""→光伏"
S033,300274,阳光电源,光伏,0.78,"产业主题映射""光伏""→光伏"
